player_name,player_points,player_credits
AKASH VASISHT,0.0,6
SHAMS MULANI,0.0,6
RAJ BAWA,0.0,6
NISHANT SINDHU,0.0,6
HARSHIT RANA,0.0,6
SANVIR SINGH,0.0,5.5
NITISH KUMAR REDDY,0.0,5.5
ABDUL BASITH,0.0,5
MANOJ BHANDAGE,0.0,5
ARJUN TENDULKAR,0.0,5
RAGHAV GOYAL,0.0,4.5
AJAY MANDAL,0.0,4.5
MOHIT RATHEE,-1.0,5.5
ARSHDEEP SINGH,253.0,8.5
MOHAMMED SIRAJ,155.0,9
FAZALHAQ FAROOQI,103.0,7.5
KULDEEP YADAV,82.0,9
MARK WOOD,373.0,8.5
YUZVENDRA CHAHAL,306.0,9.5
VARUN CHAKARAVARTHY,230.0,8
NATHAN ELLIS,219.0,7
MOHAMMAD SHAMI,217.0,9
ALZARRI JOSEPH,217.0,8
SHARDUL THAKUR,214.0,8.5
RAVI BISHNOI,205.0,8.5
MAYANK MARKANDE,198.0,7
TRENT BOULT,193.0,9
TUSHAR DESHPANDE,187.0,7
UMRAN MALIK,179.0,9
PIYUSH CHAWLA,143.0,7
MARCO JANSEN,140.0,8.5
KARN SHARMA,140.0,7
MUKESH KUMAR,131.0,7
BHUVNESHWAR KUMAR,129.0,8.5
JASON BEHRENDORFF,126.0,8
SUYASH SHARMA,122.0,4.5
HARSHAL PATEL,116.0,8.5
DAVID WILLEY,114.0,7.5
MOHIT SHARMA,110.0,7.5
JOSHUA LITTLE,103.0,8
ADIL RASHID,100.0,8
ANRICH NORTJE,95.0,9
AMIT MISHRA,95.0,7.5
RAHUL CHAHAR,84.0,8.5
T NATARAJAN,83.0,8.5
RAJVARDHAN HANGARGEKAR,83.0,5.5
KHALEEL AHMED,81.0,8
WAYNE PARNELL,81.0,6.5
SANDEEP SHARMA,76.0,6.5
AVESH KHAN,75.0,8.5
RILEY MEREDITH,70.0,7
UMESH YADAV,66.0,8.5
HRITHIK SHOKEEN,62.0,6.5
HARPREET BRAR,56.0,7
AKASH DEEP,56.0,6.5
ARSHAD KHAN,54.0,5
CHETAN SAKARIYA,53.0,8
AKASH SINGH,52.0,4.5
TIM SOUTHEE,46.0,8
SISANDA MAGALA,43.0,6
YASH THAKUR,41.0,6
KUMAR KARTIKEYA,39.0,7.5
REECE TOPLEY,39.0,7
MUSTAFIZUR RAHMAN,30.0,8
KAGISO RABADA,29.0,9.5
ADAM ZAMPA,28.0,8
AMAN KHAN,22.0,4.5
JAYDEV UNADKAT,16.0,8
YASH DAYAL,14.0,7.5
KM ASIF,14.0,7
KULDEEP SEN,10.0,7.5
MAHEESH THEEKSHANA,8.0,8.5
DEEPAK CHAHAR,6.0,8.5
JOFRA ARCHER,4.0,9.5
MURUGAN ASHWIN,4.0,7.5
JOSH HAZLEWOOD,0.0,9
NAVEEN-UL-HAQ,0.0,8
AKEAL HOSEIN,0.0,8
OBED MCCOY,0.0,8
LUNGI NGIDI,0.0,8
MOHSIN KHAN,0.0,8
LOCKIE FERGUSON,0.0,8
SHIVAM MAVI,0.0,8
KYLE JAMIESON,0.0,7.5
ISHANT SHARMA,0.0,7.5
JAYANT YADAV,0.0,7.5
SAI KISHORE,0.0,7.5
ODEAN SMITH,0.0,7.5
MUKESH CHOUDHARY,0.0,7.5
NOOR AHMAD,0.0,7
KAMLESH NAGARKOTI,0.0,7
SIDDARTH KAUL,0.0,7
DUAN JANSEN,0.0,6.5
KC CARIAPPA,0.0,6.5
PRADEEP SANGWAN,0.0,6.5
SIMARJEET SINGH,0.0,6.5
KARTIK TYAGI,0.0,6.5
SONU YADAV,0.0,6
MAYANK DAGAR,0.0,6
MAYANK YADAV,0.0,6
DARSHAN NALKANDE,0.0,6
MATHEESHA PATHIRANA,0.0,6
KULDIP YADAV,0.0,6
SANDEEP WARRIER,0.0,5.5
AKASH MADHWAL,0.0,5.5
VICKY OSTWAL,0.0,5.5
KULWANT KHEJROLIYA,0.0,5.5
PRAVIN DUBEY,0.0,5.5
VIJAYKUMAR VYSHAK,0.0,5
VIDWATH KAVERAPPA,0.0,5
RAJAN KUMAR,0.0,5
HIMANSHU SHARMA,0.0,5
YUDHVIR SINGH,0.0,5
BHAGATH VARMA,0.0,5
BALTEJ SINGH,0.0,5
VAIBHAV ARORA,0.0,5
GURNOOR BRAR,0.0,4.5
AVINASH SINGH,0.0,4.5
PRASHANT SOLANKI,0.0,4.5
NAVDEEP SAINI,-2.0,7.5
